SWD24 Spine-Leaf Links                20160411 2601.0.4,,,,,,,,,,,,,,
Mode,SWD24,,,,,,,,,,,,,
Source,,,,,,Destination,,,,,,Cable,,
Rack Group,Rack,Name,Name-2,Port,Type,Rack Group,Rack,Name,Name-2,Port,Type,Label,Length,Details
,,ZzNAMEqQ,S201A,24,CS,,,ZzNAMEqQ,L101A,25,CL,,,
,,ZzNAMEqQ,S208A,23,,,,ZzNAMEqQ,L101A,26,,,,
,,ZzNAMEqQ,S209A,22,,,,ZzNAMEqQ,L101A,27,,,,
,,ZzNAMEqQ,S210A,21,,,,ZzNAMEqQ,L101A,28,,,,
,,ZzNAMEqQ,S211A,20,,,,ZzNAMEqQ,L101A,29,,,,
,,ZzNAMEqQ,S212A,19,,,,ZzNAMEqQ,L101A,30,,,,
,,ZzNAMEqQ,S207B,31,,,,ZzNAMEqQ,L101A,31,,,,
,,ZzNAMEqQ,S208B,32,,,,ZzNAMEqQ,L101A,32,,,,
,,ZzNAMEqQ,S209B,33,,,,ZzNAMEqQ,L101A,33,,,,
,,ZzNAMEqQ,S210B,34,,,,ZzNAMEqQ,L101A,34,,,,
,,ZzNAMEqQ,S211B,35,,,,ZzNAMEqQ,L101A,35,,,,
,,ZzNAMEqQ,S212B,36,,,,ZzNAMEqQ,L101A,36,,,,
,,ZzNAMEqQ,S201B,37,,,,ZzNAMEqQ,L101A,37,,,,
,,ZzNAMEqQ,S202B,38,,,,ZzNAMEqQ,L101A,38,,,,
,,ZzNAMEqQ,S203B,39,,,,ZzNAMEqQ,L101A,39,,,,
,,ZzNAMEqQ,S204B,40,,,,ZzNAMEqQ,L101A,40,,,,
,,ZzNAMEqQ,S205B,41,,,,ZzNAMEqQ,L101A,41,,,,
,,ZzNAMEqQ,S206B,42,,,,ZzNAMEqQ,L101A,42,,,,
,,ZzNAMEqQ,S202A,06,,,,ZzNAMEqQ,L101A,43,,,,
,,ZzNAMEqQ,S203A,05,,,,ZzNAMEqQ,L101A,44,,,,
,,ZzNAMEqQ,S204A,04,,,,ZzNAMEqQ,L101A,45,,,,
,,ZzNAMEqQ,S205A,03,,,,ZzNAMEqQ,L101A,46,,,,
,,ZzNAMEqQ,S206A,02,,,,ZzNAMEqQ,L101A,47,,,,
,,ZzNAMEqQ,S207A,01,,,,ZzNAMEqQ,L101A,48,,,,
,,ZzNAMEqQ,S207B,48,,,,ZzNAMEqQ,L101B,25,,,,
